YEAR,MO,DY,Temp,dew point,Humidity,Precipitation,Wind Speed,Pressure
2013,3,31,28.61,20.43,15.62,0.03,2.39,96.74
2013,4,1,28.62,20.65,15.87,0,2.42,96.83
2013,4,2,28.59,20.3,15.5,0.04,2.64,96.84
2013,4,3,28.9,21.03,16.24,0.06,2.23,96.81
2013,4,4,28.81,20.69,15.93,0.03,3.11,96.78
2013,4,5,28.9,20.55,15.75,0.8,2.77,96.69
2013,4,6,28.84,20.54,15.75,0.08,3.22,96.65
2013,4,7,29.12,20.29,15.62,0,2.91,96.57
2013,4,8,29.92,20.29,15.56,0,1.89,96.6
2013,4,9,28.94,21.71,16.97,0.06,2.4,96.74
2013,4,10,28.52,21.69,16.97,0.02,2.39,96.77
2013,4,11,28.98,21.13,16.48,0.02,2.61,96.72
2013,4,12,30.4,19.7,15.2,0,1.88,96.72
2013,4,13,29.97,20.95,16.3,0.02,2.18,96.86
2013,4,14,29.12,21.09,16.3,0.07,2.31,96.91
2013,4,15,28.24,21.2,16.42,1.36,2.75,96.84
2013,4,16,29,20.73,15.99,0.15,2.94,96.72
2013,4,17,28.86,20.02,15.26,0,3.2,96.59
2013,4,18,28.3,19.37,14.71,0,3.19,96.65
2013,4,19,29.03,18.19,13.73,0,2.84,96.65
2013,4,20,28.43,18.69,14.1,0,2.88,96.66
2013,4,21,28.12,18.12,13.79,0,2.68,96.65
2013,4,22,28.22,19.77,15.08,0.01,2.61,96.74
2013,4,23,28.5,21.32,16.48,0.61,2.45,96.88
2013,4,24,28.29,21.14,16.36,2.05,1.76,96.93
2013,4,25,28.76,21.18,16.42,0.47,2.06,96.89
2013,4,26,28.54,20.93,16.17,0.11,1.54,96.84
2013,4,27,28.78,20.98,16.24,0.13,1.78,96.82
2013,4,28,27.96,22.42,17.7,2.55,2.29,96.74
2013,4,29,27.15,23.2,18.55,0.76,2.36,96.7
2013,4,30,29.09,21.72,17.09,0.18,1.62,96.61
2013,5,1,29.19,22.12,17.52,1.57,1.79,96.62
2013,5,2,28.19,22.92,18.37,0.63,2.23,96.55
2013,5,3,28.12,23.08,18.49,1,2.51,96.5
2013,5,4,27.3,23.54,18.98,3.15,2.43,96.5
2013,5,5,27.33,22.59,17.94,2.46,2.47,96.6
2013,5,6,28.08,23.07,18.49,1.44,2.48,96.6
2013,5,7,27.23,22.22,17.52,1.69,2.6,96.73
2013,5,8,27.65,22.37,17.64,1.73,2.79,96.75
2013,5,9,28.48,22.57,17.88,0.44,2.75,96.74
2013,5,10,28.14,23.18,18.49,1.03,2.57,96.75
2013,5,11,27.94,23.04,18.43,3.36,2.68,96.56
2013,5,12,27.05,22.52,17.82,3.07,3.05,96.62
2013,5,13,26.65,21.62,16.91,0.73,3.02,96.55
2013,5,14,26.31,21.67,16.97,0.25,3.55,96.53
2013,5,15,27.23,20.55,15.81,0.19,3.56,96.57
2013,5,16,27.93,19.64,15.01,0.05,3.02,96.64
2013,5,17,28.26,21.25,16.48,0.18,3.2,96.7
2013,5,18,28.29,21.88,17.09,0.12,2.95,96.7
2013,5,19,28.53,22.68,18.01,4.7,2.6,96.63
2013,5,20,27.33,23.69,19.1,14.26,2.65,96.7
2013,5,21,27.4,20.95,16.24,4.55,2.05,96.81
2013,5,22,27.36,22.36,17.58,1.12,2.98,96.82
2013,5,23,27.19,22.55,17.82,3.39,2.95,96.83
2013,5,24,26.71,23.3,18.68,2.05,3.15,96.77
2013,5,25,25.67,22.67,17.94,13.31,2.98,96.9
2013,5,26,25.15,21.46,16.66,6.94,3.29,96.79
2013,5,27,24.93,22.4,17.64,5.33,3.3,96.8
2013,5,28,24.72,22,17.21,5.67,2.84,96.87
2013,5,29,25.26,22.05,17.27,5.07,3.44,96.76
2013,5,30,25.63,22.7,18.01,12.7,3.56,96.62
2013,5,31,24.27,22.48,17.76,28.1,3.52,96.64
2013,6,1,24.76,21.65,16.85,15.6,4.17,96.64
2013,6,2,24.18,21.95,17.15,28.09,4.39,96.69
2013,6,3,24.68,22.76,18.07,16.02,3.81,96.56
2013,6,4,25.24,22.16,17.4,0.62,2.85,96.61
2013,6,5,25.37,22.59,17.88,3.52,2.9,96.67
2013,6,6,25.19,22.66,17.94,15.98,3.59,96.58
2013,6,7,24.4,22.05,17.33,19.82,3.48,96.58
2013,6,8,24.16,21.69,16.91,23.78,3.98,96.68
2013,6,9,24.18,21.58,16.78,13.22,3.37,96.73
2013,6,10,24.65,22.41,17.7,13.26,3.18,96.71
2013,6,11,24.72,22.9,18.25,27.53,4.02,96.63
2013,6,12,24.25,22.63,17.94,22.29,4.19,96.55
2013,6,13,24.49,22.73,18.13,17.32,3.8,96.45
2013,6,14,24.84,23.36,18.8,15.78,4.42,96.38
2013,6,15,25.05,23.52,18.98,27.74,4.89,96.42
2013,6,16,24.93,23.52,18.92,46.67,4.52,96.59
2013,6,17,24.01,22.71,18.01,58,3.49,96.71
2013,6,18,23.99,22.78,18.07,31.87,3.23,96.62
2013,6,19,23.62,22.52,17.76,22.27,3.51,96.68
